Date,Open,High,Low,Close,Volume,Ticker
2014-10-07,1953.25,1956.25,1924.25,1928.0,2166031,ES=F
2014-10-08,1926.25,1964.0,1918.0,1961.75,2521875,ES=F
2014-10-09,1961.5,1968.5,1915.25,1925.0,3103761,ES=F
2014-10-10,1917.0,1931.25,1893.25,1894.25,3069299,ES=F
2014-10-13,1892.0,1906.0,1863.75,1865.5,2948075,ES=F
2014-10-14,1866.25,1892.75,1864.75,1874.75,3114778,ES=F
2014-10-15,1878.25,1883.25,1813.0,1846.75,4661757,ES=F
2014-10-16,1846.75,1869.75,1815.25,1850.5,3368379,ES=F
2014-10-17,1853.0,1891.75,1851.0,1881.0,2579053,ES=F
2014-10-20,1884.0,1904.5,1872.25,1900.0,1653127,ES=F
2014-10-21,1903.5,1939.75,1885.75,1938.0,2239114,ES=F
2014-10-22,1938.25,1943.75,1920.25,1925.0,2022453,ES=F
2014-10-23,1924.5,1956.25,1922.25,1946.0,2014997,ES=F
2014-10-24,1946.0,1961.25,1931.75,1959.75,1601260,ES=F
2014-10-27,1960.25,1965.75,1944.5,1957.0,1452059,ES=F
2014-10-28,1957.75,1980.75,1956.75,1980.0,1571000,ES=F
2014-10-29,1976.0,1985.75,1962.0,1972.25,1895667,ES=F
2014-10-30,1971.75,1994.25,1959.25,1988.5,1980796,ES=F
2014-10-31,1987.75,2016.75,1986.75,2011.5,1924396,ES=F
2014-11-03,2011.25,2019.25,2007.0,2011.0,1361523,ES=F
2014-11-04,2010.5,2013.75,1995.25,2005.5,1524332,ES=F
2014-11-05,2006.25,2020.5,2003.75,2018.75,1574778,ES=F
2014-11-06,2018.5,2029.25,2010.75,2028.0,1434905,ES=F
2014-11-07,2027.25,2033.5,2020.5,2026.0,1282437,ES=F
2014-11-10,2025.75,2035.0,2021.0,2034.0,967814,ES=F
2014-11-11,2033.75,2039.0,2031.0,2036.5,779708,ES=F
2014-11-12,2036.5,2037.25,2026.75,2036.0,1082280,ES=F
2014-11-13,2034.75,2043.75,2026.75,2034.0,1541477,ES=F
2014-11-14,2033.0,2039.75,2032.0,2038.0,1047384,ES=F
2014-11-17,2038.5,2040.5,2025.25,2039.75,1061143,ES=F
2014-11-18,2039.25,2054.0,2035.75,2048.5,1146480,ES=F
2014-11-19,2048.75,2050.5,2037.75,2047.25,1188471,ES=F
2014-11-20,2047.0,2052.75,2035.25,2052.0,1130058,ES=F
2014-11-21,2052.25,2072.25,2049.75,2061.75,1634315,ES=F
2014-11-24,2062.25,2069.0,2060.75,2067.5,793915,ES=F
2014-11-25,2067.25,2073.0,2062.75,2067.5,977855,ES=F
2014-11-26,2068.25,2075.25,2065.25,2072.25,743541,ES=F
2014-11-28,2074.0,2074.75,2063.5,2066.25,783116,ES=F
2014-12-01,2063.25,2064.0,2048.25,2050.75,1471696,ES=F
2014-12-02,2051.0,2068.0,2050.75,2066.0,1152160,ES=F
2014-12-03,2066.5,2076.0,2063.25,2072.5,925314,ES=F
2014-12-04,2073.0,2077.25,2061.25,2072.0,1374378,ES=F
2014-12-05,2071.75,2079.0,2068.5,2076.0,1148282,ES=F
2014-12-08,2075.75,2077.5,2053.75,2059.5,1414138,ES=F
2014-12-09,2060.25,2062.25,2033.25,2057.5,1893729,ES=F
2014-12-10,2057.75,2060.0,2023.25,2026.5,2376052,ES=F
2014-12-11,2026.25,2056.5,2023.75,2031.0,2255859,ES=F
2014-12-12,2029.5,2032.25,1996.5,1997.25,1487564,ES=F
2014-12-15,1998.75,2019.25,1981.5,1990.0,1128936,ES=F
2014-12-16,1991.25,2018.0,1968.25,1971.5,1219044,ES=F
2014-12-17,1973.5,2017.0,1972.75,2014.25,785286,ES=F
2014-12-18,2013.75,2068.0,2010.75,2065.0,538248,ES=F
2014-12-19,2066.0,2079.75,2061.25,2065.0,1765615,ES=F
2014-12-22,2065.0,2076.0,2064.0,2072.5,858554,ES=F
2014-12-23,2073.0,2084.5,2071.5,2079.0,777814,ES=F
2014-12-24,2078.75,2083.5,2077.0,2078.75,235054,ES=F
2014-12-26,2078.75,2088.75,2078.5,2084.25,309281,ES=F
